id,search_value,defaultValue,synset,pos,semanticCategory,example,gloss
15590,سير,سير,378,Adjective,body,سير بودم و غذا نخوردم,داراي حالت سيري
15591,سير,سير,379,Adjective,conceptual,--نامعلوم--:آبي سير *,--نامعلوم--:داراي رنگ تند *
24862,سير,سير,14634,Noun,FOOD,نيم کيلو سير بخريد.* در بسياري از غذاهاي شمالي از سير تازه استفاده مي‌شود که عطر و طعم فوق‌العاده‌اي به غذا مي‌دهد.,بنه ي گياهي متورم و چند قسمتي که همگي در پوششي سفيد يا صورتي قرار گرفته اند و بوي تند و مصرف خوراکي و دارويي دارد
24863,سير,سير,14636,Noun,QUANTITY,--نامعلوم--:يک سير پنير *,--نامعلوم--:واحد اندازه گيري وزن معادل 75 گرم *
24866,سير,سير,14635,Noun,PLANT,سير در نواحي سردسير مي رويد,گياهي از خانواده ي سوسن با بوته‌اي متورم و چندقسمتي
55866,سير,سير,22354,Noun,ACT,بورس سير صعودي دارد,حرکت از جايي به جاي ديگر
55867,سير,سير,22355,Noun,ACT,سير آفاق و انفس,گردش و تماشا
